2024-06-10T16:05:27.972+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'localeCharsetMappingsCustomizer'
2024-06-10T16:05:27.972+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration'
2024-06-10T16:05:27.973+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2024-06-10T16:05:27.981+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageCustomizer'
2024-06-10T16:05:27.982+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration'
2024-06-10T16:05:27.982+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2024-06-10T16:05:27.983+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'dispatcherServletRegistration'
2024-06-10T16:05:27.983+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletRegistrationConfiguration'
2024-06-10T16:05:27.983+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'dispatcherServlet'
2024-06-10T16:05:27.983+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletConfiguration'
2024-06-10T16:05:27.983+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
2024-06-10T16:05:27.985+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dispatcherServlet' via factory method to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
2024-06-10T16:05:27.992+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dispatcherServletRegistration' via factory method to bean named 'dispatcherServlet'
2024-06-10T16:05:27.992+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dispatcherServletRegistration' via factory method to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
2024-06-10T16:05:27.993+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'multipartConfigElement'
2024-06-10T16:05:27.993+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration'
2024-06-10T16:05:27.993+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
2024-06-10T16:05:27.994+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration' via constructor to bean named 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
2024-06-10T16:05:27.996+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'errorPageCustomizer' via factory method to bean named 'dispatcherServletRegistration'
2024-06-10T16:05:28.029+09:00 DEBUG 22194 --- [backend] [main] .s.b.w.e.t.TomcatServletWebServerFactory : Code archive: /Users/lifeisgenie/.gradle/caches/modules-2/files-2.1/org.springframework.boot/spring-boot/3.2.5/eec72431f6f56a50c9919129665ba3359ca02104/spring-boot-3.2.5.jar
2024-06-10T16:05:28.029+09:00 DEBUG 22194 --- [backend] [main] .s.b.w.e.t.TomcatServletWebServerFactory : Code archive: /Users/lifeisgenie/.gradle/caches/modules-2/files-2.1/org.springframework.boot/spring-boot/3.2.5/eec72431f6f56a50c9919129665ba3359ca02104/spring-boot-3.2.5.jar
2024-06-10T16:05:28.029+09:00 DEBUG 22194 --- [backend] [main] .s.b.w.e.t.TomcatServletWebServerFactory : None of the document roots [src/main/webapp, public, static] point to a directory and will be ignored.
2024-06-10T16:05:28.037+09:00  INFO 22194 --- [backend] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2024-06-10T16:05:28.042+09:00  INFO 22194 --- [backend] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-06-10T16:05:28.042+09:00  INFO 22194 --- [backend] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-06-10T16:05:28.059+09:00  INFO 22194 --- [backend] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-06-10T16:05:28.060+09:00 DEBUG 22194 --- [backend] [main] w.s.c.ServletWebServerApplicationContext : Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
2024-06-10T16:05:28.060+09:00  INFO 22194 --- [backend] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 507 ms
2024-06-10T16:05:28.060+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'securityFilterChainRegistration'
2024-06-10T16:05:28.060+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.security.servlet.SecurityFilterAutoConfiguration'
2024-06-10T16:05:28.061+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.security-org.springframework.boot.autoconfigure.security.SecurityProperties'
2024-06-10T16:05:28.061+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'securityFilterChainRegistration' via factory method to bean named 'spring.security-org.springframework.boot.autoconfigure.security.SecurityProperties'
2024-06-10T16:05:28.063+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'JWTFilter'
2024-06-10T16:05:28.064+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'JWTUtil'
2024-06-10T16:05:28.065+09:00 DEBUG 22194 --- [backend] [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jwt.secret' in PropertySource 'environmentProperties' with value of type String
2024-06-10T16:05:28.074+09:00 DEBUG 22194 --- [backend] [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'jwt.access-token-expiration' in PropertySource 'environmentProperties' with value of type String
2024-06-10T16:05:28.075+09:00 DEBUG 22194 --- [backend] [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'jwt.refresh-token-expiration' in PropertySource 'environmentProperties' with value of type String
2024-06-10T16:05:28.076+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'customUserDetailsService'
2024-06-10T16:05:28.076+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'userRepository'
2024-06-10T16:05:28.078+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpa.named-queries#0'
2024-06-10T16:05:28.080+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpa.UserRepository.fragments#0'
2024-06-10T16:05:28.081+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpaSharedEM_entityManagerFactory'
2024-06-10T16:05:28.081+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'dataSourceScriptDatabaseInitializer'
2024-06-10T16:05:28.081+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.sql.init.DataSourceInitializationConfiguration'
2024-06-10T16:05:28.082+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'dataSource'
2024-06-10T16:05:28.082+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari'
